,Day
0,"Aboufadel, Edward F. (1995), Assistant Vice President for Academic Affairs and Professor of Mathematics. B.S., Michigan State University; Ph.D., Rutgers University."
1,"Abramson, Marty (1987), Associate Professor of Education. B.A., University of Wisconsin-Green Bay; Ph.D., University of Wisconsin-Madison."
2,"Adamczyk, Bogdan (1999), Professor of Engineering. B.S., M.S., University of Nevada-Reno; Ph.D., Oakland University."
3,"Adamopoulos, John (1992), Professor of Psychology. B.A., Yale University; A.M., Ph.D., University of Illinois."
4,"Adams, Allison R. (1998), Assistant Professor of Hospitality and Tourism Management. B.S., M.B.A., Central Michigan University."
5,"Adams, Ellen (2014), Assistant Professor or Art, Frederik Meijer Honors College. B.A., University of Delaware; M.A., Hunter College of the City University of New York; Ph.D., New York University."
6,"Adams, Robert D. (1998), Associate Professor of Computing and Information Systems. B.S., Northern Kentucky University; M.S., Ph.D., University of Kentucky."
7,"Adrian, Daniel (2014), Assistant Professor of Statistics. B.S., Valparaiso University; M.S., Northern Illinois University; Ph.D., Iowa State University."
8,"Akbulut, Asli Yagmur (2003), Professor of Management. B.S., M.B.A., Ankara University, Turkey; M.S., Ph.D., Louisiana State University."
9,"Alaimo, Salvatore (2009), Assistant Professor of Nonprofit Administration. B.S., Ramapo State College of New Jersey; M.S., Georgia State University; Ph.D., Indiana University."
10,"Alayont, Feryâl (2006), Associate Professor of Mathematics. B.S., Bilkent University; Ph.D., University of Minnesota."
11,"Albrecht, Richard (2000), Professor of Movement Science. B.S., M.A., Ph.D., Michigan State University."
12,"Alderink, Gordon (1984), Associate Professor of Physical Therapy. B.A., Hope College; M.S., University of Michigan; Ph.D., Michigan State University."
13,"Aldrich, Naomi (2013), Assistant Professor of Psychology. B.A., University of Tennessee; M.A., Brooklyn College-CUNY; M.Phil., Ph.D., The Graduate Center-CUNY"
14,"Ali, Arjumand (2015), Assistant Professor of Engineering. B.S.E., NED University of Engineering & Technology, M.S., M.S.c., University of Wisconsin Milwaukee, Ph.D, University of Wisconsin Milwaukee."
15,"Allen, Monica (2006), Affiliate Faculty of Management. B.S., American University; M.A.S., The Johns Hopkins University."
16,"Al-Mallah, Majd (2002), Professor of Modern Languages. B.A., University of Jordan; M.A., Ph.D., Indiana University."
17,"Alrebh, Abdullah (2016), Assistant Professor of Sociology. B.A., King Saud University; M.A., Ph.D., Michigan State University."
18,"Alsabbagh, Jamal (2000), Professor of Computing and Information Systems. B.Sc., M.Sc., University of Wales; M.S., Ph.D., University of Southwestern Louisiana."
19,"Alvarez, David (1997), Professor of English. B.A., Polytechnic of Central London; M.A., Ph.D., University of Texas."
20,"Ambrose, Bradley S. (1999), Associate Professor of Physics. B.S., Yale University; M.S., Ph.D., University of Washington."
21,"Anderson, Donovan (2006), Associate Professor of German. B.A., University of Kansas; M.A., Ph.D., University of Michigan."
22,"Anderson, Kirk (2003), Professor of Statistics. B.S., M.S., Ph.D., Western Michigan University."
23,"Anderson, Peter J. (2004), Associate Professor of Classics. B.A., M.A., University of Ottawa; Ph.D., University of Cincinnati."
24,"Anderson, Rachel S. (2004), Associate Professor of English. B.A., University of Iowa; M.A., Ph.D., Indiana University."
25,"Andrews, Gordon (2009), Associate Professor of History. B.A., M.A., Western Michigan University."
26,"Antczak, Frederick J. (2004), Dean of the College of Liberal Arts and Sciences and Professor of English. B.A., University of Notre Dame; M.A., Ph.D. University of Chicago."
27,"Anton, Corey (1998), Professor of Communications. B.A., University of Wisconsin; M.S., Illinois State University; Ph.D., Purdue University."
28,"Anyalebechi, Princewill N. (2001), Professor of Engineering. T.E.C. Higher Diploma, West Bromwich College of Commerce and Technology; M.Sc., Ph.D., Brunel University."
29,"Armstrong, Natalie (2012), Affiliate Professor of Physics. M.Ed., Grand Valley State University."
30,"Arnold, Elizabeth R. (2009), Associate Professor of Anthropology. B.A. and M.A., University of Manitoba; Ph.D., University of Calgary."
31,"Armstrong, Dorothy (1983), Professor of Education. B.A., Wheaton College, Massachusetts: M.E.A.S., University of Wisconsin-Green Bay; Ph.D., Union Graduate School."
32,"Armstrong, Stephanie L. (2016), Assistant Professor of Movement Science. B.S., Boston University; M.A.T., The Colorado College; Ph.D., University of New Mexico."
33,"Aschenbach, Todd (2007), Associate Professor of Biology and Natural Resources Management. B.S., University of Wisconsin-Stevens Point; M.A., Ph.D., University of Kansas."
34,"Ashby, Blake (2010), Associate Professor of Engineering. B.S., Utah State University; M.S., Ph.D., Stanford University."
35,"Austin, David M. (1999), Professor of Mathematics. B.A., M.A., Rice University; Ph.D., University of Utah."
36,"BC, Bishal (2016), Assistant Professor of Accounting. B.S., Southwest Minnesota University, MAcc, The George Washington University, Ph.D., The University of Texas at Dallas."
37,"Bacon-Baguley, Theresa (1991), Professor, Physician Assistant Studies. B.S.N., Michigan State University; Ph.D., Wayne State University."
38,"Bailey, Kathleen (1995), Professor of Criminal Justice. B.S., Central Michigan University; M.A., Ed.D., Western Michigan University."
39,"Bailey-Fakhoury, Chasity (2013), Assistant Professor of Education. B.A., University of Michigan; M.Ed., Ph.D., Wayne State University."
40,"Baine, Nicholas (2013), Assistant Professor of Engineering. B.S., M.S., Ph.D., Wright State University."
41,"Bair, David E. (1997), Professor of Education. B.A., The College of Wooster; Ed.D., University of Michigan."
42,"Bair, Mary, Associate Professor of Education. B.S., University of Delhi, India; M.S., University of Calicut, India; Ph.D., University of Michigan."
43,"Baird, Kristin (2016), Affiliate Clinical Professor of Clinical Dietetics. B.S., Michigan State University; M.S., Texas Tech University."
44,"Baker, Barbara J. (1990), Associate Professor of Physical Therapy. B.S., Furman University; M.P.T., Emory University; Ph.D., Western Michigan University."
45,"Baker-Clark, Charles (2002), Associate Professor of Hospitality and Tourism Management. B.A., Quincy University; A.A.S., Grand Rapids Community College; M.S., Western Illinois University; M.S., Ph.D., Michigan State University."
46,"Balfour, Danny L. (1996), Professor of Public Administration. B.A., Michigan State University; Ph.D., Florida State University."
47,"Bambini, Deborah R. (2000), Associate Professor of Nursing. B.S.N., University of Evansville; M.S.N., Grand Valley State University; Ph.D., Michigan State University."
48,"Banghart Therrien, Mary (2011), Assistant Professor of Social Work. B.A., Michigan State University; M.S.W., Grand Valley State University; A.B.D., Michigan State University."
49,"Barnes, Kyle R. (2015), Assistant Professor of Movement Science. B.A., Hope College; M.S., Colorado State University; Ph.D., Auckland University of Technology."
50,"Barnhart, Katie (2015), Assistant Professor of Public Health. B.S., Southern Illinois University Edwardsville; M.P.H., Saint Louis University; Ph.D., Indiana University Bloomington."
51,"Barrows, Nathan J. (2007), Associate Professor of Chemistry. B.S., Montana State University; M.S., Ph.D., University of Northern Colorado."
52,"Barry, Jean (2005), Associate Professor of Nursing. B.S.N., University of Iowa; M.S.N., University of Hawaii; Ph.D., University of Iowa."
53,"Bartz-Smith, Shari D. (1999), Associate Professor of Movement Science. B.S., Grand Valley State University; M.A., University of Alabama-Birmingham; Ph.D., University of Alabama and University of Alabama at Birmingham."
54,"Basiliere, Jae (2016), Assistant Professor of Women, Gender, and Sexuality Studies. B.A., Wells College; M.A., State University of New York at Buffalo; Ph.D., Indiana University. "
55,"Battani, Marshall (2000), Professor of Sociology. B.A., San Francisco State University; M.F.A., University of Arizona, M.A., Ph.D., University of California, Davis."
56,"Baum, Edward (1983), Professor of Chemistry, Frederik Meijer Honors College. B.Sc., Ph.D., University of California."
57,"Baxter, M. Aaron (2006), Associate Professor of Biomedical Sciences. B.S., Idaho State University; M.S., University of Arkansas; Ph.D., University of Iowa."
58,"Beasecker, Robert (1970), Senior Librarian. A.B., Hillsdale College; A.M.L.S., University of Michigan."
59,"Beasley, Jeanine A. (2004), Professor of Occupational Therapy. B.A., Western Michigan University; M. Ed., Grand Valley State University; Ed.D., Eastern Michigan University."
60,"Beaudoin, Christina M. (2008), Associate Professor of Movement Science. B.A., Brandeis University; M.S., Kansas State University; Ph.D., University of North Carolina at Greensboro."
61,"Beaubien, Sarah (2011), Assistant Librarian. B.S., Northern Michigan University; M.L.S., Indiana University."
62,"Beck, Teresa (1995), Professor of Therapeutic Recreation. B.S., Indiana University; M.S., Florida State University; Ph.D., University of North Texas."
63,"Beckmann, Charlene E. (1988), Professor of Mathematics. B.S., Marquette University; M.A., Ph.D., Western Michigan University."
64,"Beel-Bates, Cynthia A. (2004), Associate Professor of Nursing. B.S.N., Nazareth College; M.S.N., Wayne State University; Ph.D., University of Michigan."
65,"Beery, Lawrence (2000), Associate Professor of Communications. B.A., M.A., Michigan State University."
66,"Bell, James (2007), Associate Professor of Communications. B.A., Brigham Young University; Ph.D., Florida State University."
67,"Bender, John (1998), Professor of Chemistry. B.S., Baldwin-Wallace College; Ph.D., Brown University."
68,"Bender, Stephanie (2012). Affiliate Professor of Biomedical Sciences. B.S., Northern Arizona University; M.S., Wright State University."
69,"Benet, Suzeanne B. (1992), Associate Professor of Marketing. B.S., Jacksonville State University; Ph.D., University of North Carolina."
70,"Benjamin, Craig (2003), Associate Professor of History, Frederik Meijer Honors College. B.A., Ph.D., Macquarie University."
